county,stateid,Total_Cases
Autauga,01,756
Baldwin,01,1518
Barbour,01,441
Bibb,01,242
Blount,01,389
Bullock,01,386
Butler,01,664
Calhoun,01,655
Chambers,01,718
Cherokee,01,145
Chilton,01,379
Choctaw,01,223
Clarke,01,340
Clay,01,94
Cleburne,01,62
Coffee,01,482
Colbert,01,623
Conecuh,01,258
Coosa,01,68
Covington,01,485
Crenshaw,01,147
Cullman,01,723
Dale,01,431
Dallas,01,1053
DeKalb,01,1155
Elmore,01,1143
Escambia,01,569
Etowah,01,1154
Fayette,01,96
Franklin,01,975
Geneva,01,110
Greene,01,202
Hale,01,380
Henry,01,167
Houston,01,699
Jackson,01,517
Jefferson,01,7540
Lamar,01,97
Lauderdale,01,667
Lawrence,01,162
Lee,01,1845
Limestone,01,731
Lowndes,01,502
Macon,01,241
Madison,01,2942
Marengo,01,383
Marion,01,359
Marshall,01,2149
Mobile,01,5375
Monroe,01,292
Montgomery,01,4783
Morgan,01,1506
Perry,01,273
Pickens,01,285
Pike,01,507
Randolph,01,292
Russell,01,770
St. Clair,01,688
Shelby,01,1923
Sumter,01,307
Talladega,01,485
Tallapoosa,01,676
Tuscaloosa,01,2861
Walker,01,1152
Washington,01,170
Wilcox,01,335
Winston,01,320
Aleutians East,02,0
Aleutians West,02,1
Anchorage,02,790
Bethel,02,16
Bristol Bay,02,0
Denali,02,0
Dillingham,02,0
Fairbanks North Star,02,267
Haines,02,2
Hoonah-Angoon,02,0
Juneau,02,53
Kenai Peninsula,02,209
Ketchikan Gateway,02,23
Kodiak Island,02,5
Kusilvak,02,2
Lake and Peninsula,02,0
Matanuska-Susitna,02,161
Nome,02,15
North Slope,02,5
Northwest Arctic,02,7
Petersburg,02,6
Prince of Wales-Hyder,02,2
Sitka,02,11
Skagway,02,0
Southeast Fairbanks,02,3
Valdez-Cordova,02,0
Wade Hampton,02,0
Wrangell,02,3
Yakutat,02,0
Yukon-Koyukuk,02,2
Apache,04,2644
Cochise,04,1131
Coconino,04,2532
Gila,04,479
Graham,04,221
Greenlee,04,38
La Paz,04,422
Maricopa,04,86483
Mohave,04,2045
Navajo,04,4529
Pima,04,12406
Pinal,04,6118
