Month,State,Death,Cases
1,Alaska,0,0
1,Alabama,0,0
1,Arkansas,0,0
1,Arizona,0,1
1,California,0,4
1,Colorado,0,0
1,Connecticut,0,0
1,District Of Columbia,0,0
1,Delaware,0,0
1,Florida,0,0
1,Georgia,0,0
1,Hawaii,0,0
1,Iowa,0,0
1,Idaho,0,0
1,Illinois,0,2
1,Indiana,0,0
1,Kansas,0,0
1,Kentucky,0,0
1,Louisiana,0,0
1,Maine,0,0
1,Maryland,0,0
1,Massachusetts,0,0
1,Michigan,0,0
1,Minnesota,0,0
1,Missouri,0,0
1,Mississippi,0,0
1,Montana,0,0
1,North Carolina,0,0
1,North Dakota,0,0
1,Nebraska,0,0
1,New Hampshire,0,0
1,New Jersey,0,0
1,New Mexico,0,0
1,Nevada,0,0
1,New York,0,0
1,Ohio,0,0
1,Oklahoma,0,0
1,Oregon,0,0
1,Pennsylvania,0,0
1,Rhode Island,0,0
1,South Carolina,0,0
1,South Dakota,0,0
1,Tennessee,0,0
1,Texas,0,0
1,Utah,0,0
1,Virginia,0,0
1,Vermont,0,0
1,Washington,0,1
1,Wisconsin,0,0
1,West Virginia,0,0
1,Wyoming,0,0
2,Alaska,0,0
2,Alabama,0,0
2,Arkansas,0,0
2,Arizona,0,1
2,California,2,22
2,Colorado,0,0
2,Connecticut,0,0
2,District Of Columbia,0,0
2,Delaware,0,0
2,Florida,0,0
2,Georgia,0,0
2,Hawaii,0,0
2,Iowa,0,0
2,Idaho,0,0
2,Illinois,0,2
2,Indiana,0,0
2,Kansas,0,0
2,Kentucky,0,0
2,Louisiana,0,0
2,Maine,0,0
2,Maryland,0,0
2,Massachusetts,0,1
2,Michigan,0,0
2,Minnesota,0,0
2,Missouri,0,0
2,Mississippi,0,0
2,Montana,0,0
2,North Carolina,0,0
2,North Dakota,0,0
2,Nebraska,0,0
2,New Hampshire,0,0
2,New Jersey,0,0
2,New Mexico,0,0
2,Nevada,0,0
2,New York,0,0
2,Ohio,0,0
2,Oklahoma,0,0
2,Oregon,0,1
2,Pennsylvania,0,0
2,Rhode Island,0,0
2,South Carolina,0,0
2,South Dakota,0,0
2,Tennessee,0,0
2,Texas,0,0
2,Utah,0,0
2,Virginia,0,0
2,Vermont,0,0
2,Washington,1,7
2,Wisconsin,0,0
2,West Virginia,0,0
2,Wyoming,0,0
3,Alaska,3,133
3,Alabama,13,997
3,Arkansas,8,560
3,Arizona,24,1289
3,California,185,8815
3,Colorado,69,2965
3,Connecticut,69,3128
3,District Of Columbia,11,586
3,Delaware,10,319
3,Florida,85,6741
3,Georgia,125,4110
3,Hawaii,1,40
3,Iowa,7,496
3,Idaho,9,525
3,Illinois,99,5993
3,Indiana,90,2159
3,Kansas,10,428
3,Kentucky,18,527
3,Louisiana,238,5235
3,Maine,89,275
3,Maryland,17,1660
3,Massachusetts,5,6620
3,Michigan,259,7613
3,Minnesota,10,629
3,Missouri,14,1336
3,Mississippi,18,935
3,Montana,4,198
3,North Carolina,8,1491
3,North Dakota,3,126
3,Nebraska,4,177
3,New Hampshire,3,367
3,New Jersey,265,18696
3,New Mexico,5,315
3,Nevada,26,1113
3,New York,1991,74447
3,Ohio,55,2197
3,Oklahoma,23,566
3,Oregon,18,689
3,Pennsylvania,63,4839
3,Rhode Island,8,485
3,South Carolina,22,1083
3,South Dakota,1,100
3,Tennessee,22,2238
3,Texas,50,3604
3,Utah,4,887
3,Virginia,27,1247
3,Vermont,12,292
3,Washington,222,5662
3,Wisconsin,16,1351
3,West Virginia,1,162
3,Wyoming,0,120
4,Alaska,9,356
4,Alabama,269,7063
4,Arkansas,61,3269
4,Arizona,318,7648
4,California,2031,50322
4,Colorado,776,15261
4,Connecticut,2257,27700
4,District Of Columbia,224,4323
4,Delaware,152,4734
4,Florida,1267,33690
4,Georgia,1125,25832
4,Hawaii,16,125
4,Iowa,162,7142
4,Idaho,62,2013
4,Illinois,2354,52908
4,Indiana,1007,17818
4,Kansas,135,4235
4,Kentucky,240,4695
4,Louisiana,1858,27998
4,Maine,3562,1094
4,Maryland,985,21742
4,Massachusetts,53,62177
4,Michigan,3791,41367
4,Minnesota,342,5125
4,Missouri,331,7529
4,Mississippi,260,6814
4,Montana,18,452
4,North Carolina,377,10015
4,North Dakota,19,1067
4,Nebraska,72,4232
4,New Hampshire,72,2146
4,New Jersey,7231,119282
4,New Mexico,123,3411
4,Nevada,253,5040
4,New York,23409,304441
4,Ohio,975,18018
4,Oklahoma,222,3617
4,Oregon,103,2510
4,Pennsylvania,2290,45759
4,Rhode Island,266,8477
4,South Carolina,244,6095
4,South Dakota,17,2448
4,Tennessee,199,10731
4,Texas,781,27991
4,Utah,46,4676
4,Virginia,552,15852
4,Vermont,48,865
4,Washington,813,14326
4,Wisconsin,316,6853
4,West Virginia,44,1124
4,Wyoming,7,414
5,Alaska,10,460
5,Alabama,629,17849
5,Arkansas,133,7252
5,Arizona,910,20119
5,California,4171,112703
5,Colorado,1444,26378
5,Connecticut,3942,42201
5,District Of Columbia,466,8801
5,Delaware,366,9498
5,Florida,2450,56161
5,Georgia,2038,47079
5,Hawaii,17,129
5,Iowa,532,19481
5,Idaho,82,2839
5,Illinois,5389,120257
5,Indiana,1966,34569
5,Kansas,213,9763
5,Kentucky,431,9693
5,Louisiana,2683,39899
5,Maine,6846,2320
5,Maryland,2433,52715
5,Massachusetts,89,97005
5,Michigan,5491,57391
5,Minnesota,1038,24846
5,Missouri,771,13136
5,Mississippi,734,15484
5,Montana,19,519
5,North Carolina,875,27669
5,North Dakota,59,2575
5,Nebraska,165,13880
5,New Hampshire,245,4650
5,New Jersey,11696,159659
5,New Mexico,356,7688
5,Nevada,429,8612
5,New York,29635,370839
5,Ohio,2151,35508
5,Oklahoma,333,6418
5,Oregon,153,4243
5,Pennsylvania,5536,71924
5,Rhode Island,720,14928
5,South Carolina,494,11859
5,South Dakota,60,4988
5,Tennessee,364,22560
5,Texas,1669,64279
5,Utah,108,9336
5,Virginia,1369,44600
5,Vermont,55,981
5,Washington,1118,21694
5,Wisconsin,592,18400
5,West Virginia,73,1995
5,Wyoming,15,903
6,Alaska,12,932
6,Alabama,948,38045
6,Arkansas,270,20774
6,Arizona,1632,79205
6,California,6081,230359
6,Colorado,1679,32713
6,Connecticut,4320,46513
6,District Of Columbia,551,10327
6,Delaware,507,11479
6,Florida,3503,152422
6,Georgia,2807,82086
6,Hawaii,18,140
6,Iowa,713,28941
6,Idaho,92,6116
6,Illinois,6922,143182
6,Indiana,2447,45593
6,Kansas,275,14528
6,Kentucky,565,15622
6,Louisiana,3112,58095
6,Maine,8052,3290
6,Maryland,3228,67558
6,Massachusetts,105,108882
6,Michigan,6193,70725
6,Minnesota,1441,36299
6,Missouri,1023,21644
6,Mississippi,1073,27247
6,Montana,24,985
6,North Carolina,1334,64668
6,North Dakota,79,3576
6,Nebraska,272,19004
6,New Hampshire,371,5782
6,New Jersey,15035,171637
6,New Mexico,497,12147
6,Nevada,507,18456
6,New York,31777,393496
6,Ohio,2862,51790
6,Oklahoma,387,13751
6,Oregon,207,8656
6,Pennsylvania,6648,86604
6,Rhode Island,950,16813
6,South Carolina,735,36297
6,South Dakota,91,6763
6,Tennessee,597,42557
6,Texas,2421,159939
6,Utah,172,22372
6,Virginia,1761,62774
6,Vermont,56,1208
6,Washington,1332,32823
6,Wisconsin,784,28657
6,West Virginia,93,2885
6,Wyoming,20,1486
7,Alaska,17,1622
7,Alabama,1121,59067
7,Arkansas,321,30297
7,Arizona,2237,131354
7,California,7049,353254
7,Colorado,1725,38155
7,Connecticut,4348,47636
7,District Of Columbia,568,11076
7,Delaware,515,13050
7,Florida,4242,301810
7,Georgia,3000,127834
7,Hawaii,19,156
7,Iowa,749,36036
7,Idaho,102,12445
7,Illinois,7187,156693
7,Indiana,2567,53370
7,Kansas,294,21055
7,Kentucky,625,20677
7,Louisiana,3308,84131
7,Maine,8325,3598
7,Maryland,3370,75016
7,Massachusetts,114,112347
7,Michigan,6314,78913
7,Minnesota,1502,43741
7,Missouri,1069,29714
7,Mississippi,1249,38519
7,Montana,31,2000
7,North Carolina,1503,91265
7,North Dakota,87,4565
7,Nebraska,285,21859
7,New Hampshire,391,6113
7,New Jersey,15541,176278
7,New Mexico,545,15841
7,Nevada,593,30561
7,New York,32029,404075
7,Ohio,3058,69312
7,Oklahoma,422,22814
7,Oregon,234,13081
7,Pennsylvania,6904,97665
7,Rhode Island,976,17640
7,South Carolina,950,62071
7,South Dakota,109,7651
7,Tennessee,731,67286
7,Texas,3192,282339
7,Utah,215,31102
7,Virginia,1968,74431
7,Vermont,56,1318
7,Washington,1438,43046
7,Wisconsin,820,38727
7,West Virginia,96,4557
7,Wyoming,21,1985
